标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"荒蛮故事 / Relatos salvajes","4","2016/01/27","","2014/05/17","戛纳电影节","https://movie.douban.com/subject/24750126/"
"她 / Her","4","2016/01/27","","2013/10/12","纽约电影节","https://movie.douban.com/subject/6722879/"
"大卫·戈尔的一生 / The Life of David Gale","4","2016/01/09","","2003/02/21","美国","https://movie.douban.com/subject/1305725/"
"老炮儿","4","2016/01/02","","2015/09/09","威尼斯电影节","https://movie.douban.com/subject/24751756/"
"一个勺子","3","2015/12/27","","2014/11/16","金马影展","https://movie.douban.com/subject/25926267/"
"狩猎 / Jagten","3","2015/12/26","","2012/05/20","戛纳电影节","https://movie.douban.com/subject/6985810/"
"恶棍天使","2","2015/12/26","","2015/12/24","中国大陆","https://movie.douban.com/subject/26290365/"
"我的少女时代 / 我的少女時代","3","2015/12/23","","2015/08/15","中国台湾","https://movie.douban.com/subject/26366465/"
"解救吾先生","4","2015/12/23","","2015/09/26","丝绸之路电影节","https://movie.douban.com/subject/25798448/"
"寻龙诀","3","2015/12/18","","2015/12/18","中国大陆","https://movie.douban.com/subject/3077412/"
"爆裂鼓手 / Whiplash","4","2015/12/06","","2014/01/16","圣丹斯电影节","https://movie.douban.com/subject/25773932/"
"火星救援 / The Martian","5","2015/11/28","","2015/10/02","美国","https://movie.douban.com/subject/25864085/"
"暗杀 / 암살","3","2015/11/27","感觉一般，不知道为什么评分这么高","2015/07/22","韩国","https://movie.douban.com/subject/25823132/"
"恐怖直播 / 더 테러 라이브","4","2015/11/27","","2013/07/31","韩国","https://movie.douban.com/subject/21360417/"
"小岛惊魂 / The Others","4","2015/11/25","","2001/08/10","美国","https://movie.douban.com/subject/1301459/"
"饥饿游戏3：嘲笑鸟(下) / The Hunger Games: Mockingjay - Part 2","4","2015/11/22","","2015/11/20","美国","https://movie.douban.com/subject/10047547/"
"加勒比海盗 / Pirates of the Caribbean: The Curse of the Black ...","4","2015/11/15","","2003/07/09","美国","https://movie.douban.com/subject/1298070/"
"陪安东尼度过漫长岁月","4","2015/11/14","我女神的女神监制，当然得支持一下了😄(9 有用)","2015/11/13","中国大陆","https://movie.douban.com/subject/26269510/"
"夏洛特烦恼","5","2015/10/10","评分不错，周末看看去","2015/09/30","中国大陆","https://movie.douban.com/subject/25964071/"
"九层妖塔","3","2015/10/07","没看过原著，不过故事比较散乱，内容完全是为了凑够两个小时胡乱堆切而成。柔和了恐怖片，科幻片等多种元素，整个四不像。","2015/09/30","中国大陆","https://movie.douban.com/subject/24827406/"
"猜火车 / Trainspotting","4","2015/10/06","","1996/02/23","英国","https://movie.douban.com/subject/1292528/"
"死寂 / Dead Silence","3","2015/10/06","","2007/03/16","美国","https://movie.douban.com/subject/1895120/"
"老男孩 / 올드보이","4","2015/09/03","","2003/11/21","韩国","https://movie.douban.com/subject/1308865/"
"刺客聂隐娘","3","2015/08/30","","2015/05/21","戛纳电影节","https://movie.douban.com/subject/2303845/"
"烈日灼心","3","2015/08/30","","2015/06/15","上海电影节","https://movie.douban.com/subject/24719063/"
"那些年，我们一起追的女孩 / 那些年，我們一起追的女孩","4","2015/08/06","","2011/08/19","中国台湾","https://movie.douban.com/subject/4920528/"
"八面埋伏 / Mindhunters","4","2015/06/13","","2004/03/19","比利时","https://movie.douban.com/subject/1309064/"
"蓝宇 / 藍宇","4","2015/06/03","","2001/11/22","中国香港","https://movie.douban.com/subject/1308076/"
"杀人回忆 / 살인의 추억","4","2015/06/03","","2003/05/02","韩国","https://movie.douban.com/subject/1300299/"
"致命ID / Identity","4","2015/06/03","","2003/04/25","美国","https://movie.douban.com/subject/1297192/"
"钢琴家 / The Pianist","5","2015/05/28","","2002/05/24","戛纳电影节","https://movie.douban.com/subject/1296736/"
"左耳","4","2015/04/27","","2015/04/24","中国大陆","https://movie.douban.com/subject/25745752/"
"疯狂外星人 / Home","4","2015/04/27","","2015/03/07","博尔德电影节","https://movie.douban.com/subject/10827341/"
"听风者","4","2015/04/19","","2012/08/07","中国大陆","https://movie.douban.com/subject/6041191/"
"老男孩猛龙过江","4","2015/04/19","","2014/07/10","中国大陆","https://movie.douban.com/subject/25755645/"
"超体 / Lucy","3","2015/04/19","","2014/07/25","美国","https://movie.douban.com/subject/24404677/"
"你丫闭嘴！ / Tais-toi!","3","2015/04/18","挺搞笑的","2003/10/22","法国","https://movie.douban.com/subject/1303815/"
"射雕英雄传之东成西就 / 射鵰英雄傳之東成西就","4","2015/04/18","笑死了","1993/02/05","中国香港","https://movie.douban.com/subject/1316510/"
"风声","4","2015/04/18","","2009/09/29","中国大陆","https://movie.douban.com/subject/3734112/"
"速度与激情7 / Furious 7","4","2015/04/18","","2015/04/03","美国","https://movie.douban.com/subject/23761370/"
"苏州河","4","2015/04/18","","2000/09/07","中国香港","https://movie.douban.com/subject/1299661/"
"王牌特工：特工学院 / Kingsman: The Secret Service","3","2015/04/05","","2014/12/13","BNAT电影节","https://movie.douban.com/subject/24405378/"
"超能陆战队 / Big Hero 6","","2015/04/05","","2014/10/23","东京电影节","https://movie.douban.com/subject/11026735/"
"里约大冒险 / Rio","","2015/04/05","","2011/04/08","中国大陆","https://movie.douban.com/subject/3731581/"
"泰迪熊 / Ted","3","2015/04/05","","2012/06/29","美国","https://movie.douban.com/subject/4807924/"
"史密斯夫妇 / Mr. & Mrs. Smith","4","2015/04/05","","2005/06/07","加州首映","https://movie.douban.com/subject/1309199/"
"权力的游戏 第一季 / Game of Thrones Season 1","","2015/04/04","","2011/04/17","美国","https://movie.douban.com/subject/3016187/"
"暴力街区 / Brick Mansions","","2015/04/04","","2014/04/23","法国","https://movie.douban.com/subject/3718269/"
"敢死队3 / The Expendables 3","","2015/04/04","","2014/08/04","伦敦首映","https://movie.douban.com/subject/11610281/"
"天将雄师","3","2015/03/14","","2015/02/19","中国大陆","https://movie.douban.com/subject/25823833/"
"五十度灰 / Fifty Shades of Grey","3","2015/03/14","","2015/02/09","洛杉矶首映","https://movie.douban.com/subject/24840488/"
"霍比特人3：五军之战 / The Hobbit: The Battle of the Five Armies","4","2015/02/11","","2014/12/17","美国","https://movie.douban.com/subject/2973079/"
"重返20岁","3","2015/01/18","","2015/01/08","中国大陆","https://movie.douban.com/subject/25870084/"
"我的早更女友","3","2015/01/18","","2014/12/12","中国大陆","https://movie.douban.com/subject/25834473/"
"X战警：逆转未来 / X-Men: Days of Future Past","3","2015/01/18","","2014/05/23","美国","https://movie.douban.com/subject/10485647/"
"银河护卫队 / Guardians of the Galaxy","4","2015/01/18","","2014/07/21","洛杉矶首映","https://movie.douban.com/subject/7065154/"
"西西里的美丽传说 / Malèna","4","2015/01/18","","2000/10/27","意大利","https://movie.douban.com/subject/1292402/"
"智取威虎山","4","2014/12/26","","2014/12/23","中国大陆","https://movie.douban.com/subject/10807909/"
"一步之遥","4","2014/12/26","","2014/12/18","中国大陆","https://movie.douban.com/subject/6126442/"
"撒娇女人最好命","3","2014/12/06","","2014/11/28","中国大陆","https://movie.douban.com/subject/4881607/"
"匆匆那年","3","2014/12/06","","2014/12/05","中国大陆","https://movie.douban.com/subject/25779218/"
"狂怒 / Fury","3","2014/12/06","","2014/10/17","美国","https://movie.douban.com/subject/23331914/"
"素媛 / 소원","3","2014/12/06","","2013/10/02","韩国","https://movie.douban.com/subject/21937452/"
"V字仇杀队 / V for Vendetta","4","2014/10/25","","2005/12/11","BNAT电影节","https://movie.douban.com/subject/1309046/"
"狮子王 / The Lion King","4","2014/10/13","","1994/06/15","美国","https://movie.douban.com/subject/1301753/"
"苍蝇一分钟的生命 / One Minute Fly","5","2014/10/06","","","","https://movie.douban.com/subject/4914616/"
"僵尸新娘 / Corpse Bride","5","2014/10/06","","2005/09/07","威尼斯电影节","https://movie.douban.com/subject/1309060/"
"心花路放","4","2014/10/06","","2014/09/06","多伦多电影节","https://movie.douban.com/subject/25717233/"
"穿靴子的猫：萌猫三剑客 / Puss in Boots: The Three Diablos","5","2014/10/06","","","","https://movie.douban.com/subject/10521648/"
"被解救的姜戈 / Django Unchained","5","2014/10/05","","2012/12/25","美国","https://movie.douban.com/subject/6307447/"
"驯龙高手2 / How to Train Your Dragon 2","4","2014/10/05","","2014/05/16","戛纳电影节","https://movie.douban.com/subject/4824512/"
"调音师(短片) / L'accordeur","5","2014/10/05","","","","https://movie.douban.com/subject/6846495/"
"黑洞 / The Black Hole","","2014/10/05","","2008/09/21","英国","https://movie.douban.com/subject/4016948/"
"8号房间 / Room 8","5","2014/10/05","","2013/04/24","英国","https://movie.douban.com/subject/24708811/"
"雇佣人生 / El Empleo","4","2014/10/05","","2008/09/04","阿根廷","https://movie.douban.com/subject/3823425/"
"我是传奇 / I Am Legend","4","2014/09/13","","2007/12/14","美国","https://movie.douban.com/subject/1820156/"
"罪恶之城 / Sin City","","2014/09/13","","2005/04/01","美国","https://movie.douban.com/subject/1309027/"
"四大名捕大结局","3","2014/09/13","","2014/08/22","中国大陆","https://movie.douban.com/subject/10604893/"
"朗读者 / The Reader","4","2014/09/13","","2008/12/10","纽约首映","https://movie.douban.com/subject/2213597/"
"熔炉 / 도가니","4","2014/09/09","","2011/09/22","韩国","https://movie.douban.com/subject/5912992/"
"源代码 / Source Code","3","2014/09/09","","2011/03/11","西南偏南电影节","https://movie.douban.com/subject/3075287/"
"蝴蝶效应 / The Butterfly Effect","5","2014/09/09","","2004/01/23","美国","https://movie.douban.com/subject/1292343/"
"催眠大师","4","2014/09/07","","2014/04/29","中国大陆","https://movie.douban.com/subject/24743711/"
"怪兽大学 / Monsters University","","2014/09/06","","2013/06/21","美国","https://movie.douban.com/subject/3789848/"
"龙猫 / となりのトトロ","4","2014/09/06","","1988/04/16","日本","https://movie.douban.com/subject/1291560/"
"驯龙高手 / How to Train Your Dragon","4","2014/08/16","","2010/03/18","俄罗斯","https://movie.douban.com/subject/2353023/"
"活着","4","2014/07/29","","1994/05/17","戛纳电影节","https://movie.douban.com/subject/1292365/"
"美国丽人 / American Beauty","4","2014/07/29","","1999/09/08","洛杉矶首映","https://movie.douban.com/subject/1292062/"
"归来","4","2014/07/20","","2014/05/16","中国大陆","https://movie.douban.com/subject/21352814/"
"沉默的羔羊 / The Silence of the Lambs","5","2014/07/16","","1991/02/14","美国","https://movie.douban.com/subject/1293544/"
"乌云背后的幸福线 / Silver Linings Playbook","4","2014/07/16","","2012/09/08","多伦多电影节","https://movie.douban.com/subject/3094909/"
"北京遇上西雅图","3","2014/07/16","","2013/03/21","中国大陆","https://movie.douban.com/subject/10574468/"
"11度青春之《老男孩》","4","2014/07/16","","","","https://movie.douban.com/subject/5344178/"
"恐怖游轮 / Triangle","4","2014/07/16","没看懂。。。","2009/10/16","英国","https://movie.douban.com/subject/3011051/"
"寂静岭 / Silent Hill","4","2014/07/16","","2006/04/21","美国","https://movie.douban.com/subject/1466007/"
"咒怨 / 呪怨","4","2014/07/16","吓死我了。。。","2002/10/18","Screamfest恐怖电影节","https://movie.douban.com/subject/1306808/"
"明日边缘 / Edge of Tomorrow","3","2014/07/07","","2014/06/06","美国","https://movie.douban.com/subject/4746257/"
"沉睡魔咒 / Maleficent","","2014/07/07","","2014/05/30","美国","https://movie.douban.com/subject/4301224/"
"变形金刚4：绝迹重生 / Transformers: Age of Extinction","3","2014/07/07","","2014/06/19","中国香港首映","https://movie.douban.com/subject/7054604/"
"天堂电影院 / Nuovo Cinema Paradiso","4","2014/04/27","","1988/11/17","意大利","https://movie.douban.com/subject/1291828/"
"十二怒汉 / 12 Angry Men","4","2014/04/27","","1957/04/13","美国","https://movie.douban.com/subject/1293182/"
"窃听风暴 / Das Leben der Anderen","5","2014/04/27","","2006/03/23","德国","https://movie.douban.com/subject/1900841/"
"我的野蛮女友 / 엽기적인 그녀","4","2014/02/21","","2001/07/27","韩国","https://movie.douban.com/subject/1292286/"
"怦然心动 / Flipped","4","2014/02/21","","2010/07/26","好莱坞首映","https://movie.douban.com/subject/3319755/"
"独自等待","5","2014/02/21","","2004/10/26","东京电影节","https://movie.douban.com/subject/1308741/"
"倩女幽魂","5","2014/02/21","","1987/07/18","中国香港","https://movie.douban.com/subject/1297447/"
"美丽人生 / La vita è bella","5","2014/02/21","","1997/12/20","意大利","https://movie.douban.com/subject/1292063/"
"罗马假日 / Roman Holiday","5","2014/02/20","","1953/08/20","威尼斯电影节","https://movie.douban.com/subject/1293839/"
"忠犬八公的故事 / Hachi: A Dog's Tale","5","2014/02/20","","2009/06/13","西雅图电影节","https://movie.douban.com/subject/3011091/"
"千与千寻 / 千と千尋の神隠し","4","2014/02/20","","2001/07/20","日本","https://movie.douban.com/subject/1291561/"
"这个杀手不太冷 / Léon","5","2014/02/20","","1994/09/14","法国","https://movie.douban.com/subject/1295644/"
"海上钢琴师 / La leggenda del pianista sull'oceano","5","2014/02/20","","1998/10/28","意大利","https://movie.douban.com/subject/1292001/"
"肖申克的救赎 / The Shawshank Redemption","5","2014/02/20","","1994/09/10","多伦多电影节","https://movie.douban.com/subject/1292052/"
"七宗罪 / Se7en","4","2014/02/20","","1995/09/22","美国","https://movie.douban.com/subject/1292223/"
"大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣","5","2014/02/20","","1995/02/04","中国香港","https://movie.douban.com/subject/1292213/"
"大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒","5","2014/02/20","","1995/01/21","中国香港","https://movie.douban.com/subject/1299398/"
"三傻大闹宝莱坞 / 3 Idiots","4","2014/02/20","","2009/12/25","印度","https://movie.douban.com/subject/3793023/"
"疯狂原始人 / The Croods","4","2014/02/20","","2013/02/15","柏林电影节","https://movie.douban.com/subject/1907966/"
"机器人总动员 / WALL·E","5","2014/02/20","","2008/06/27","美国","https://movie.douban.com/subject/2131459/"
"比悲伤更悲伤的故事 / 슬픔보다 더 슬픈 이야기","5","2014/02/20","","2009/03/12","韩国","https://movie.douban.com/subject/3805946/"
"假如爱有天意 / 클래식","5","2014/02/20","","","","https://movie.douban.com/subject/1304073/"
"剪刀手爱德华 / Edward Scissorhands","5","2014/02/20","","1990/12/06","美国","https://movie.douban.com/subject/1292370/"
"霸王别姬","5","2014/02/20","","1993/01/01","中国香港","https://movie.douban.com/subject/1291546/"
"神偷奶爸 / Despicable Me","5","2014/02/20","","2010/06/20","莫斯科电影节","https://movie.douban.com/subject/3287562/"
"森林战士 / Epic","4","2014/02/20","","2013/05/24","美国","https://movie.douban.com/subject/3263814/"
"触不可及 / Intouchables","4","2014/02/20","","2011/11/02","法国","https://movie.douban.com/subject/6786002/"
