id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3624071360,回来的女儿,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2885326350.jpg,2022-12-21(中国大陆),https://movie.douban.com/subject/35633718/,6.2,"悬疑,家庭",3,,,2022-12-31 00:04:07,2022 / 中国大陆 / 悬疑 家庭 / 吕行 / 张子枫 王砚辉
3604723784,十二宫,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p470486287.jpg,2007-03-02(美国),https://movie.douban.com/subject/1781126/,7.5,"剧情,悬疑,惊悚",4,,,2022-12-16 17:13:54,2007 / 美国 / 剧情 悬疑 惊悚 传记 犯罪 / 大卫·芬奇 / 杰克·吉伦哈尔 马克·鲁弗洛
3604718240,蒙太奇,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1951590607.jpg,2013-05-16(韩国),https://movie.douban.com/subject/21937438/,8.2,"剧情,惊悚,犯罪",4,,,2022-12-16 17:08:21,2013 / 韩国 / 剧情 惊悚 犯罪 / 郑根燮 / 金相庆 严正化
3602828989,汉武大帝,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2878176040.jpg,2005-01-02(中国大陆),https://movie.douban.com/subject/2411184/,9.2,"剧情,历史,古装",4,,,2022-12-14 20:35:40,2005 / 中国大陆 / 剧情 历史 古装 / 胡玫 / 陈宝国 焦晃
3521174830,连城诀,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2427111522.jpg,2004-07-01(中国大陆),https://movie.douban.com/subject/2249544/,8.4,"爱情,武侠,古装",4,,,2022-12-14 20:14:42,2004 / 中国大陆 / 爱情 武侠 古装 / 王新民 / 吴樾 何美钿
3602803896,碧血剑,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2519885056.jpg,2007-02-10,https://movie.douban.com/subject/2223042/,7.6,"剧情,武侠",4,,,2022-12-14 20:13:35,2006 / 中国大陆 / 剧情 武侠 / 李翰滔 / 窦智孔 焦恩俊
3596573758,伪装者,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2221539583.jpg,2015-08-31(中国大陆),https://movie.douban.com/subject/25994712/,8.6,"剧情,悬疑",4,,,2022-12-08 22:25:19,2015 / 中国大陆 / 剧情 悬疑 / 李雪 / 胡歌 靳东
3596566991,大明王朝1566,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2444453078.jpg,2007-01-08(中国大陆),https://movie.douban.com/subject/2210001/,9.8,"剧情,历史,古装",4,,,2022-12-08 22:20:10,2007 / 中国大陆 / 剧情 历史 古装 / 张黎 / 陈宝国 黄志忠
3596533449,后宫·甄嬛传,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1480046723.jpg,2011-11-17(中国大陆),https://movie.douban.com/subject/4922787/,9.4,"剧情,古装",4,,,2022-12-08 21:53:22,2011 / 中国大陆 / 剧情 古装 / 郑晓龙 / 孙俪 陈建斌
3589981706,幸福终点站,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p854757687.jpg,2005-01-14(中国大陆),https://movie.douban.com/subject/1292274/,8.8,"剧情,喜剧,爱情",4,,,2022-12-03 22:38:49,2004 / 美国 / 剧情 喜剧 爱情 / 史蒂文·斯皮尔伯格 / 汤姆·汉克斯 凯瑟琳·泽塔-琼斯
3574727185,水浒传,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2284597014.jpg,2011-01-01(中国大陆),https://movie.douban.com/subject/4718246/,8,"剧情,动作,古装",5,,,2022-11-20 23:38:55,2011 / 中国大陆 / 剧情 动作 古装 / 鞠觉亮 / 张涵予 吕良伟
3574726900,水浒传,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2558579542.jpg,1998-01(中国大陆),https://movie.douban.com/subject/3904560/,9,"剧情,历史,古装",5,,,2022-11-20 23:38:43,1998 / 中国大陆 / 剧情 历史 古装 / 张绍林 / 李雪健 宁晓志
3417630670,爱在午夜降临前,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2074715729.jpg,2013-06-14(美国),https://movie.douban.com/subject/10808442/,8.9,"剧情,爱情",4,,,2022-11-20 23:36:21,2013 / 美国 希腊 / 剧情 爱情 / 理查德·林克莱特 / 伊桑·霍克 朱莉·德尔佩
3545791749,龙之家族 第一季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2874976551.jpg,2022-08-21(美国),https://movie.douban.com/subject/34825964/,8.8,"剧情,动作,爱情",4,,,2022-11-10 00:06:42,2022 / 美国 / 剧情 动作 爱情 奇幻 冒险 / 米格尔·萨普什尼克 格雷格·艾坦尼斯 克莱尔·基尔纳 格塔·帕特尔 / 帕迪·康斯戴恩 马特·史密斯
3521155198,神雕侠侣,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2427114435.jpg,2006-03-14(中国大陆),https://movie.douban.com/subject/2375707/,7.7,"武侠,古装",4,,,2022-10-29 00:23:21,2006 / 中国大陆 / 武侠 古装 / 于敏 / 黄晓明 刘亦菲
3547604109,昆仑神宫,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2880550356.jpg,2022-09-20(中国大陆),https://movie.douban.com/subject/35095038/,6.9,"剧情,动作,冒险",2,很没意思,,2022-10-29 00:23:01,2022 / 中国大陆 / 剧情 动作 冒险 / 蔡岳勋 / 潘粤明 张雨绮
3540346431,爱在日落黄昏时,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2561542458.jpg,2004-02-10(柏林电影节),https://movie.douban.com/subject/1291990/,8.9,"剧情,爱情",5,,,2022-10-22 17:04:12,2004 / 美国 法国 / 剧情 爱情 / 理查德·林克莱特 / 伊桑·霍克 朱莉·德尔佩
3521180214,乌龙闯情关,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2333915372.jpg,2001-01(中国大陆),https://movie.douban.com/subject/3134871/,7.3,"剧情,喜剧,爱情",4,,,2022-10-05 22:52:52,2001 / 中国大陆 / 剧情 喜剧 爱情 / 高力强 德喜 / 孙耀威 曹颖
